,1970s ,1980s ,1990s ,2000s ,2010s 
DUUUUUU,21,39,32,42,29
UDDDDDD,19,23,24,23,18
UDDDDDU,18,13,21,20,15
UDDDDUD,16,17,18,19,8
UDDDDUU,20,22,23,21,13
UDDDUDD,19,25,23,19,13
UDDDUDU,9,6,14,13,10
UDDDUUD,16,26,15,23,15
UDDDUUU,16,28,12,19,22
UDDUDDD,18,25,20,11,15
UDDUDDU,12,21,20,14,5
UDDUDUD,4,8,10,13,6
UDDUDUU,11,18,22,10,10
UDDUUDD,20,29,16,22,12
UDDUUDU,14,11,22,16,10
UDDUUUD,14,23,27,23,6
UDDUUUU,18,31,24,24,23
UDUDDDD,5,10,11,15,9
UDUDDDU,9,13,11,14,11
UDUDDUD,3,8,17,15,4
UDUDDUU,13,12,19,18,12
UDUDUDD,2,4,14,5,4
UDUDUDU,0,4,7,10,5
UDUDUUD,1,4,6,12,5
UDUDUUU,3,10,14,19,15
UDUUDDD,10,24,17,16,12
UDUUDDU,12,15,10,13,11
UDUUDUD,3,9,10,13,15
UDUUDUU,9,8,15,18,13
UDUUUDD,11,25,19,24,8
UDUUUDU,10,21,22,16,9
UDUUUUD,10,15,24,20,12
UDUUUUU,14,25,35,37,21
UUDDDDD,27,19,32,28,16
UUDDDDU,24,24,20,23,16
UUDDDUD,12,18,21,13,12
UUDDDUU,16,25,15,26,23
UUDDUDD,18,29,24,15,15
UUDDUDU,9,12,17,9,10
UUDDUUD,19,28,15,20,12
UUDDUUU,16,35,21,25,16
UUDUDDD,9,14,14,21,12
UUDUDDU,12,14,21,22,12
UUDUDUD,2,7,12,10,4
UUDUDUU,2,8,10,19,16
UUDUUDD,15,28,16,20,16
UUDUUDU,9,13,15,21,16
UUDUUUD,15,31,22,18,7
UUDUUUU,13,30,35,40,20
UUUDDDD,32,22,31,25,19
UUUDDDU,12,18,23,23,24
UUUDDUD,11,24,29,18,16
UUUDDUU,19,32,23,19,12
UUUDUDD,11,17,18,27,15
UUUDUDU,2,8,11,17,9
UUUDUUD,12,29,17,22,19
UUUDUUU,17,44,38,34,12
UUUUDDD,25,21,27,20,31
UUUUDDU,18,29,31,21,21
UUUUDUD,9,13,13,25,13
UUUUDUU,18,45,29,40,19
UUUUUDD,22,27,31,26,33
UUUUUDU,15,35,22,48,19
UUUUUUD,21,39,32,42,30
UUUUUUU,18,72,36,59,41
