,1970s ,1980s ,1990s ,2000s ,2010s 
DDD,0.163678426836,0.124950416501,0.132530120482,0.13112164297,0.142857142857
DDU,0.141122035859,0.129313764379,0.124899598394,0.114533965245,0.115318416523
DUD,0.0815500289184,0.0797302657676,0.101204819277,0.088467614534,0.083189902467
DUU,0.126662810873,0.13248710829,0.124899598394,0.130726698262,0.12794033276
UDD,0.141122035859,0.129313764379,0.124899598394,0.114533965245,0.115318416523
UDU,0.0670908039329,0.0829036096787,0.100803212851,0.104660347551,0.0958118187034
UUD,0.126662810873,0.132883776279,0.124497991968,0.130726698262,0.128514056225
UUU,0.152111046848,0.188417294724,0.166265060241,0.18522906793,0.191049913941
