,1970s ,1980s ,1990s ,2000s ,2010s 
UDUUDDU,0.00695652173913,0.00595947556615,0.00402252614642,0.00514240506329,0.00632547441058
UDUUDUD,0.00173913043478,0.00357568533969,0.00402252614642,0.00514240506329,0.00862564692352
UDUUDUU,0.00521739130435,0.00317838696861,0.00603378921963,0.00712025316456,0.00747556066705
UDUUUDD,0.0063768115942,0.00993245927692,0.0076427996782,0.00949367088608,0.00460034502588
UDUUUDU,0.00579710144928,0.00834326579261,0.00884955752212,0.00632911392405,0.00517538815411
UDUUUUD,0.00579710144928,0.00595947556615,0.00965406275141,0.00791139240506,0.00690051753882
UDUUUUU,0.00811594202899,0.00993245927692,0.0140788415125,0.0146360759494,0.0120759056929
UUDDDDD,0.015652173913,0.00754866905046,0.0128720836685,0.0110759493671,0.00920069005175
UUDDDDU,0.0139130434783,0.00953516090584,0.00804505229284,0.00909810126582,0.00920069005175
UUDDDUD,0.00695652173913,0.00715137067938,0.00844730490748,0.00514240506329,0.00690051753882
UUDDDUU,0.00927536231884,0.00993245927692,0.00603378921963,0.0102848101266,0.0132259919494
UUDDUDD,0.0104347826087,0.0115216527612,0.00965406275141,0.0059335443038,0.00862564692352
UUDDUDU,0.00521739130435,0.00476758045292,0.00683829444891,0.00356012658228,0.00575043128235
UUDDUUD,0.0110144927536,0.0111243543901,0.00603378921963,0.00791139240506,0.00690051753882
UUDDUUU,0.00927536231884,0.0139054429877,0.00844730490748,0.00988924050633,0.00920069005175
UUDUDDD,0.00521739130435,0.00556217719507,0.00563153660499,0.00830696202532,0.00690051753882
UUDUDDU,0.00695652173913,0.00556217719507,0.00844730490748,0.00870253164557,0.00690051753882
UUDUDUD,0.00115942028986,0.00278108859754,0.0048270313757,0.00395569620253,0.00230017251294
UUDUDUU,0.00115942028986,0.00317838696861,0.00402252614642,0.00751582278481,0.00920069005175
UUDUUDD,0.00869565217391,0.0111243543901,0.00643604183427,0.00791139240506,0.00920069005175
UUDUUDU,0.00521739130435,0.005164878824,0.00603378921963,0.00830696202532,0.00920069005175
UUDUUUD,0.00869565217391,0.0123162495034,0.00884955752212,0.00712025316456,0.00402530189764
UUDUUUU,0.00753623188406,0.0119189511323,0.0140788415125,0.0158227848101,0.0115008625647
UUUDDDD,0.0185507246377,0.00874056416369,0.0124698310539,0.00988924050633,0.0109258194365
UUUDDDU,0.00695652173913,0.00715137067938,0.00925181013677,0.00909810126582,0.0138010350776
UUUDDUD,0.0063768115942,0.00953516090584,0.0116653258246,0.00712025316456,0.00920069005175
UUUDDUU,0.0110144927536,0.0127135478745,0.00925181013677,0.00751582278481,0.00690051753882
UUUDUDD,0.0063768115942,0.0067540723083,0.00724054706356,0.0106803797468,0.00862564692352
UUUDUDU,0.00115942028986,0.00317838696861,0.00442477876106,0.0067246835443,0.00517538815411
UUUDUUD,0.00695652173913,0.0115216527612,0.00683829444891,0.00870253164557,0.0109258194365
UUUDUUU,0.00985507246377,0.0174811283274,0.0152855993564,0.0134493670886,0.00690051753882
UUUUDDD,0.0144927536232,0.00834326579261,0.0108608205953,0.00791139240506,0.0178263369753
UUUUDDU,0.0104347826087,0.0115216527612,0.0124698310539,0.00830696202532,0.0120759056929
UUUUDUD,0.00521739130435,0.005164878824,0.00522928399035,0.00988924050633,0.00747556066705
UUUUDUU,0.0104347826087,0.0178784266985,0.0116653258246,0.0158227848101,0.0109258194365
UUUUUDD,0.0127536231884,0.0107270560191,0.0124698310539,0.0102848101266,0.0189764232317
UUUUUDU,0.00869565217391,0.0139054429877,0.00884955752212,0.0189873417722,0.0109258194365
UUUUUUD,0.0121739130435,0.015494636472,0.0128720836685,0.0166139240506,0.017251293847
UUUUUUU,0.0104347826087,0.0286054827175,0.0144810941271,0.0233386075949,0.0235767682576
