,1970s ,1980s ,1990s ,2000s ,2010s 
DDDDDDD,0.0121739130435,0.00834326579261,0.010056315366,0.0102848101266,0.017251293847
DDDDDDU,0.0110144927536,0.00913786253476,0.00965406275141,0.00909810126582,0.0103507763082
DDDDDUD,0.00927536231884,0.00556217719507,0.0104585679807,0.0067246835443,0.00690051753882
DDDDDUU,0.0121739130435,0.00874056416369,0.0076427996782,0.0102848101266,0.0120759056929
DDDDUDD,0.0139130434783,0.00874056416369,0.010056315366,0.00949367088608,0.00690051753882
DDDDUDU,0.00463768115942,0.00357568533969,0.0076427996782,0.00474683544304,0.00460034502588
DDDDUUD,0.00985507246377,0.00754866905046,0.00603378921963,0.00949367088608,0.00575043128235
DDDDUUU,0.0139130434783,0.00993245927692,0.0108608205953,0.00909810126582,0.0138010350776
DDDUDDD,0.0127536231884,0.010329757648,0.00804505229284,0.0102848101266,0.00690051753882
DDDUDDU,0.0121739130435,0.00834326579261,0.01126307321,0.0067246835443,0.00747556066705
DDDUDUD,0.00289855072464,0.00278108859754,0.00442477876106,0.00316455696203,0.00345025876941
DDDUDUU,0.00695652173913,0.00317838696861,0.00884955752212,0.0067246835443,0.00690051753882
DDDUUDD,0.0139130434783,0.010329757648,0.00643604183427,0.00909810126582,0.00805060379528
DDDUUDU,0.00521739130435,0.00754866905046,0.00563153660499,0.00949367088608,0.00632547441058
DDDUUUD,0.00695652173913,0.0067540723083,0.00884955752212,0.00632911392405,0.0109258194365
DDDUUUU,0.016231884058,0.0143027413588,0.00683829444891,0.0102848101266,0.0155261644623
DDUDDDD,0.00985507246377,0.00874056416369,0.00925181013677,0.0067246835443,0.00747556066705
DDUDDDU,0.0133333333333,0.0115216527612,0.00683829444891,0.00791139240506,0.00805060379528
DDUDDUD,0.00869565217391,0.00913786253476,0.00563153660499,0.00356012658228,0.00402530189764
DDUDDUU,0.0104347826087,0.00754866905046,0.0136765888978,0.00870253164557,0.00632547441058
DDUDUDD,0.00405797101449,0.00437028208184,0.00362027353178,0.00553797468354,0.00460034502588
DDUDUDU,0.00115942028986,0.00158919348431,0.0048270313757,0.00276898734177,0.00230017251294
DDUDUUD,0.00521739130435,0.00437028208184,0.00603378921963,0.00276898734177,0.00805060379528
DDUDUUU,0.00811594202899,0.00595947556615,0.0116653258246,0.00791139240506,0.00460034502588
DDUUDDD,0.0144927536232,0.00874056416369,0.00683829444891,0.0102848101266,0.00690051753882
DDUUDDU,0.0110144927536,0.0131108462455,0.00603378921963,0.00751582278481,0.00805060379528
DDUUDUD,0.00521739130435,0.00357568533969,0.00724054706356,0.0059335443038,0.00345025876941
DDUUDUU,0.00811594202899,0.00834326579261,0.00724054706356,0.00988924050633,0.00862564692352
DDUUUDD,0.0115942028986,0.00834326579261,0.0116653258246,0.00791139240506,0.00632547441058
DDUUUDU,0.00347826086957,0.00754866905046,0.00804505229284,0.00751582278481,0.00805060379528
DDUUUUD,0.0133333333333,0.0119189511323,0.00925181013677,0.00474683544304,0.0115008625647
DDUUUUU,0.0133333333333,0.0147000397298,0.00724054706356,0.0150316455696,0.017251293847
DUDDDDD,0.00579710144928,0.0067540723083,0.00522928399035,0.0059335443038,0.00977573317999
DUDDDDU,0.00695652173913,0.00595947556615,0.00844730490748,0.0067246835443,0.00287521564117
DUDDDUD,0.00927536231884,0.005164878824,0.00643604183427,0.00751582278481,0.00632547441058
DUDDDUU,0.00927536231884,0.0115216527612,0.0048270313757,0.0059335443038,0.00805060379528
DUDDUDD,0.00695652173913,0.0067540723083,0.00643604183427,0.00395569620253,0.00287521564117
DUDDUDU,0.00347826086957,0.00556217719507,0.00603378921963,0.00553797468354,0.00345025876941
DUDDUUD,0.00869565217391,0.00476758045292,0.00925181013677,0.00712025316456,0.00575043128235
DUDDUUU,0.00927536231884,0.00754866905046,0.0120675784393,0.00870253164557,0.00747556066705
DUDUDDD,0.00289855072464,0.00357568533969,0.00321802091714,0.00316455696203,0.00460034502588
DUDUDDU,0.00231884057971,0.00238379022646,0.00603378921963,0.00435126582278,0.00230017251294
DUDUDUD,,0.000794596742153,0.00362027353178,0.00197784810127,0.00287521564117
DUDUDUU,0.00115942028986,0.00238379022646,0.00402252614642,0.00474683544304,0.00230017251294
DUDUUDD,0.00405797101449,0.00437028208184,0.00442477876106,0.00356012658228,0.00402530189764
DUDUUDU,0.00173913043478,0.00158919348431,0.00402252614642,0.00395569620253,0.00690051753882
DUDUUUD,0.00347826086957,0.00595947556615,0.0076427996782,0.00870253164557,0.00575043128235
DUDUUUU,0.0063768115942,0.00397298371077,0.00965406275141,0.0067246835443,0.00747556066705
DUUDDDD,0.0110144927536,0.00834326579261,0.00844730490748,0.0102848101266,0.00747556066705
DUUDDDU,0.00927536231884,0.00993245927692,0.00522928399035,0.00632911392405,0.00632547441058
DUUDDUD,0.00927536231884,0.0067540723083,0.0048270313757,0.00237341772152,0.00517538815411
DUUDDUU,0.00927536231884,0.0123162495034,0.00522928399035,0.0102848101266,0.00920069005175
DUUDUDD,0.00579710144928,0.00437028208184,0.00683829444891,0.00632911392405,0.00517538815411
DUUDUDU,0.00115942028986,0.00278108859754,0.00442477876106,0.00474683544304,0.00632547441058
DUUDUUD,0.00695652173913,0.00476758045292,0.00563153660499,0.00751582278481,0.00747556066705
DUUDUUU,0.0063768115942,0.0067540723083,0.0076427996782,0.00949367088608,0.00862564692352
DUUUDDD,0.0110144927536,0.00754866905046,0.0108608205953,0.0110759493671,0.00690051753882
DUUUDDU,0.00695652173913,0.0107270560191,0.00844730490748,0.00632911392405,0.00402530189764
DUUUDUD,0.00231884057971,0.00476758045292,0.00643604183427,0.00751582278481,0.00632547441058
DUUUDUU,0.0063768115942,0.0111243543901,0.0104585679807,0.00632911392405,0.00690051753882
DUUUUDD,0.0121739130435,0.00913786253476,0.0108608205953,0.0059335443038,0.0109258194365
DUUUUDU,0.00695652173913,0.00874056416369,0.00804505229284,0.0067246835443,0.00747556066705
DUUUUUD,0.00927536231884,0.00913786253476,0.00844730490748,0.0130537974684,0.0126509488212
DUUUUUU,0.0121739130435,0.015494636472,0.0128720836685,0.0166139240506,0.0166762507188
UDDDDDD,0.0110144927536,0.00913786253476,0.00965406275141,0.00909810126582,0.0103507763082
UDDDDDU,0.0104347826087,0.005164878824,0.00844730490748,0.00791139240506,0.00862564692352
UDDDDUD,0.00927536231884,0.0067540723083,0.00724054706356,0.00751582278481,0.00460034502588
UDDDDUU,0.0115942028986,0.00874056416369,0.00925181013677,0.00830696202532,0.00747556066705
UDDDUDD,0.0110144927536,0.00993245927692,0.00925181013677,0.00751582278481,0.00747556066705
UDDDUDU,0.00521739130435,0.00238379022646,0.00563153660499,0.00514240506329,0.00575043128235
UDDDUUD,0.00927536231884,0.010329757648,0.00603378921963,0.00909810126582,0.00862564692352
UDDDUUU,0.00927536231884,0.0111243543901,0.0048270313757,0.00751582278481,0.0126509488212
UDDUDDD,0.0104347826087,0.00993245927692,0.00804505229284,0.00435126582278,0.00862564692352
UDDUDDU,0.00695652173913,0.00834326579261,0.00804505229284,0.00553797468354,0.00287521564117
UDDUDUD,0.00231884057971,0.00317838696861,0.00402252614642,0.00514240506329,0.00345025876941
UDDUDUU,0.0063768115942,0.00715137067938,0.00884955752212,0.00395569620253,0.00575043128235
UDDUUDD,0.0115942028986,0.0115216527612,0.00643604183427,0.00870253164557,0.00690051753882
UDDUUDU,0.00811594202899,0.00437028208184,0.00884955752212,0.00632911392405,0.00575043128235
UDDUUUD,0.00811594202899,0.00913786253476,0.0108608205953,0.00909810126582,0.00345025876941
UDDUUUU,0.0104347826087,0.0123162495034,0.00965406275141,0.00949367088608,0.0132259919494
UDUDDDD,0.00289855072464,0.00397298371077,0.00442477876106,0.0059335443038,0.00517538815411
UDUDDDU,0.00521739130435,0.005164878824,0.00442477876106,0.00553797468354,0.00632547441058
UDUDDUD,0.00173913043478,0.00317838696861,0.00683829444891,0.0059335443038,0.00230017251294
UDUDDUU,0.00753623188406,0.00476758045292,0.0076427996782,0.00712025316456,0.00690051753882
UDUDUDD,0.00115942028986,0.00158919348431,0.00563153660499,0.00197784810127,0.00230017251294
UDUDUDU,,0.00158919348431,0.00281576830249,0.00395569620253,0.00287521564117
UDUDUUD,0.000579710144928,0.00158919348431,0.00241351568785,0.00474683544304,0.00287521564117
UDUDUUU,0.00173913043478,0.00397298371077,0.00563153660499,0.00751582278481,0.00862564692352
UDUUDDD,0.00579710144928,0.00953516090584,0.00683829444891,0.00632911392405,0.00690051753882
