dd,mm,yy,value
25,07,96,605.22
26,07,96,599.68
29,07,96,598.73
30,07,96,591.6
31,07,96,599.75
01,08,96,604.73
02,08,96,613.62
05,08,96,614.92
06,08,96,608.92
07,08,96,603.93
08,08,96,605.82
09,08,96,600.97
12,08,96,596.38
13,08,96,601.02
14,08,96,600.19
16,08,96,604.78
19,08,96,601.2
20,08,96,602.8
21,08,96,601.66
22,08,96,606.13
23,08,96,608.48
26,08,96,602.82
27,08,96,602.95
28,08,96,604.38
29,08,96,602.42
03,09,96,584.12
04,09,96,588.51
05,09,96,581.76
06,09,96,585.78
09,09,96,593.09
10,09,96,585.73
11,09,96,590.7
12,09,96,592.41
13,09,96,600.21
16,09,96,607.03
17,09,96,603.16
18,09,96,597.29
19,09,96,601.05
20,09,96,603.74
24,09,96,600.15
25,09,96,609.1
26,09,96,619.28
27,09,96,633.26
30,09,96,635.79
01,10,96,631.84
02,10,96,635.99
03,10,96,640.78
04,10,96,633.82
07,10,96,631.53
08,10,96,625.22
09,10,96,629.19
10,10,96,620.07
11,10,96,619.27
14,10,96,613.5
15,10,96,621.16
16,10,96,619.54
17,10,96,616.61
18,10,96,624.78
21,10,96,627.08
22,10,96,628.59
23,10,96,622.96
24,10,96,619.21
25,10,96,613.51
28,10,96,616.09
29,10,96,606.96
30,10,96,605.13
31,10,96,603.85
04,11,96,605.35
05,11,96,614.3
06,11,96,626.71
07,11,96,627
08,11,96,628.28
11,11,96,622.57
12,11,96,632.49
13,11,96,638.77
14,11,96,644.33
15,11,96,650.54
18,11,96,648.78
19,11,96,648.92
20,11,96,655.58
21,11,96,653.54
22,11,96,657.05
25,11,96,659.42
26,11,96,658.96
27,11,96,648.2
28,11,96,648.14
29,11,96,657.56
02,12,96,657.83
03,12,96,660.8
04,12,96,657.05
05,12,96,660.77
06,12,96,646.5
09,12,96,650.78
10,12,96,650.78
11,12,96,643.09
12,12,96,640.82
13,12,96,631.27
16,12,96,643.83
17,12,96,646.81
18,12,96,651.58
19,12,96,655.4
20,12,96,660.94
23,12,96,657.98
27,12,96,658.18
30,12,96,662.57
31,12,96,666.4
02,01,97,660.42
03,01,97,661.12
07,01,97,664.5
08,01,97,669.66
09,01,97,684.38
10,01,97,710.26
13,01,97,731.32
14,01,97,738.92
15,01,97,760.38
16,01,97,752.8
17,01,97,764.66
20,01,97,773.41
21,01,97,763.73
22,01,97,780.97
23,01,97,790.45
24,01,97,783.59
27,01,97,779.9
28,01,97,774.72
29,01,97,770.82
30,01,97,770.74
31,01,97,769.33
03,02,97,771.01
04,02,97,776.79
05,02,97,786.84
06,02,97,789.63
07,02,97,796.82
10,02,97,797.71
11,02,97,789.42
12,02,97,787.77
13,02,97,781.9
14,02,97,785.63
17,02,97,773.67
18,02,97,772.6
19,02,97,764
20,02,97,769.26
21,02,97,774.87
24,02,97,771.83
25,02,97,773.51
26,02,97,762.09
27,02,97,750.74
28,02,97,741.56
03,03,97,741.13
04,03,97,755.48
05,03,97,746.87
06,03,97,756.19
07,03,97,760.85
10,03,97,760.14
11,03,97,763.44
12,03,97,748.12
13,03,97,742.32
14,03,97,742.34
17,03,97,736.79
18,03,97,724.88
19,03,97,730.09
20,03,97,732.31
21,03,97,729.35
24,03,97,730.33
25,03,97,735.87
26,03,97,747.76
27,03,97,754.7
28,03,97,740.82
01,04,97,726.96
03,04,97,724.05
04,04,97,732.88
07,04,97,743.09
08,04,97,744.47
09,04,97,752.43
10,04,97,752.91
11,04,97,756.62
14,04,97,756.15
15,04,97,769.02
16,04,97,773.85
17,04,97,775.67
18,04,97,770.18
21,04,97,770.68
22,04,97,766.8
23,04,97,772.08
24,04,97,764.98
28,04,97,758.41
29,04,97,759.48
30,04,97,767.62
02,05,97,772
05,05,97,771.87
06,05,97,777.69
07,05,97,772.24
08,05,97,765.38
09,05,97,770.65
12,05,97,767.17
13,05,97,772.9
14,05,97,774.31
15,05,97,775.33
16,05,97,782.38
19,05,97,777.04
20,05,97,778.91
21,05,97,784.29
22,05,97,779.24
23,05,97,775.86
26,05,97,769.29
27,05,97,769.19
28,05,97,770.43
29,05,97,764.07
30,05,97,757.61
02,06,97,756.96
03,06,97,763.24
04,06,97,767.2
05,06,97,766.45
06,06,97,768.23
09,06,97,759.56
10,06,97,758.01
11,06,97,763.29
12,06,97,771.88
13,06,97,793.78
16,06,97,800.86
17,06,97,796.57
18,06,97,797.16
19,06,97,819.48
20,06,97,822.45
23,06,97,827.54
24,06,97,839.27
25,06,97,844.54
26,06,97,838.46
27,06,97,836.83
30,06,97,835.08
01,07,97,834.13
02,07,97,853.45
03,07,97,853.32
04,07,97,851.94
07,07,97,858.92
08,07,97,864.46
09,07,97,873
10,07,97,866.22
11,07,97,871.3
14,07,97,882.4
15,07,97,882.27
16,07,97,896.68
17,07,97,922.68
18,07,97,923.5
21,07,97,910.95
22,07,97,932.28
23,07,97,959.18
25,07,97,945.29
28,07,97,946.17
29,07,97,928.97
30,07,97,923.88
31,07,97,928.19
01,08,97,917.18
04,08,97,904.14
05,08,97,900.31
06,08,97,904.98
07,08,97,937.04
08,08,97,920.97
11,08,97,906.73
12,08,97,910.68
13,08,97,906.66
14,08,97,905.4
18,08,97,883.22
19,08,97,893.07
20,08,97,905.18
21,08,97,908
22,08,97,888.97
25,08,97,932.28
26,08,97,884.91
27,08,97,888.64
28,08,97,883.91
29,08,97,877.2
01,09,97,892.77
03,09,97,925.97
04,09,97,914.89
05,09,97,922.02
08,09,97,922.92
09,09,97,919.37
10,09,97,914.88
11,09,97,903.54
12,09,97,908.73
15,09,97,922.09
16,09,97,937.91
17,09,97,940.81
18,09,97,940.65
19,09,97,952.81
22,09,97,979.83
23,09,97,996.49
24,09,97,991.84
25,09,97,996.37
26,09,97,999.56
29,09,97,992.76
30,09,97,995.45
01,10,97,967.2
02,10,97,968.13
03,10,97,974.19
06,10,97,981.23
07,10,97,960.53
08,10,97,979.54
09,10,97,947.97
10,10,97,942.74
13,10,97,976.34
15,10,97,1000.11
16,10,97,1002.12
17,10,97,990.94
20,10,97,986.1
21,10,97,998.19
22,10,97,1006.69
23,10,97,981.48
24,10,97,990.61
27,10,97,959.26
28,10,97,881.36
29,10,97,937.89
30,10,97,916.99
31,10,97,928.55
03,11,97,943.88
04,11,97,942.12
05,11,97,946.84
06,11,97,940.8
07,11,97,926.2
10,11,97,930.15
11,11,97,927.52
12,11,97,915.99
13,11,97,924.58
14,11,97,934.2
17,11,97,949.18
18,11,97,947.32
19,11,97,938.91
20,11,97,955.08
21,11,97,967.1
24,11,97,946.14
25,11,97,949.13
26,11,97,960.13
27,11,97,958.47
28,11,97,959.85
01,12,97,972.13
02,12,97,977.02
03,12,97,975.98
04,12,97,985.3
05,12,97,984.56
09,12,97,988.41
10,12,97,982.18
11,12,97,967.96
12,12,97,977.15
15,12,97,986.86
16,12,97,1000.7
17,12,97,1017.07
18,12,97,1015.62
19,12,97,996.9
22,12,97,1004.72
23,12,97,1021.48
24,12,97,1090.36
29,12,97,1035.5
30,12,97,1051.89
31,12,97,1053.18
02,01,98,1072.35
05,01,98,1101.39
07,01,98,1125.99
08,01,98,1112.86
09,01,98,1101.41
12,01,98,1088.68
13,01,98,1125.47
14,01,98,1132.79
15,01,98,1126.38
16,01,98,1148.02
19,01,98,1154.14
20,01,98,1152.74
21,01,98,1150.74
22,01,98,1142.52
23,01,98,1147.82
26,01,98,1139.92
27,01,98,1145.34
28,01,98,1168.36
29,01,98,1173.17
30,01,98,1181.62
02,02,98,1202.6
03,02,98,1198.24
04,02,98,1196.05
05,02,98,1224.88
06,02,98,1223.18
09,02,98,1231.86
10,02,98,1233.35
11,02,98,1252.92
12,02,98,1235.71
13,02,98,1227.44
16,02,98,1221.6
17,02,98,1244.66
18,02,98,1247.9
19,02,98,1234.08
20,02,98,1217.33
23,02,98,1219.27
24,02,98,1210.66
25,02,98,1226.58
26,02,98,1249.94
27,02,98,1248.18
02,03,98,1266.09
03,03,98,1280.93
04,03,98,1282.82
05,03,98,1271.56
06,03,98,1306.12
09,03,98,1324.17
10,03,98,1345.31
11,03,98,1349.64
12,03,98,1345.58
13,03,98,1366.16
16,03,98,1380.94
17,03,98,1410.44
18,03,98,1392.63
19,03,98,1394.71
20,03,98,1424.64
23,03,98,1443.61
24,03,98,1464.17
25,03,98,1516.35
26,03,98,1502.67
27,03,98,1509.86
30,03,98,1512.33
31,03,98,1537.16
01,04,98,1564.68
02,04,98,1596.84
03,04,98,1634.84
06,04,98,1616.22
07,04,98,1654.36
08,04,98,1565.07
09,04,98,1538.18
10,04,98,1556.33
14,04,98,1589.65
15,04,98,1612.45
16,04,98,1599.11
17,04,98,1564.21
20,04,98,1597.93
21,04,98,1579.53
22,04,98,1593.46
23,04,98,1544.43
24,04,98,1483.36
27,04,98,1397.68
28,04,98,1395.03
29,04,98,1417.53
30,04,98,1419.1
04,05,98,1494.91
05,05,98,1499.76
06,05,98,1499.76
07,05,98,1480.08
08,05,98,1497.18
11,05,98,1535.24
12,05,98,1526.28
13,05,98,1536.05
14,05,98,1505.19
15,05,98,1509.58
18,05,98,1468.56
19,05,98,1485.65
20,05,98,1505.41
21,05,98,1518.6
22,05,98,1526.67
25,05,98,1545.52
26,05,98,1574.16
27,05,98,1514.97
28,05,98,1507.13
29,05,98,1516.44
01,06,98,1471.55
02,06,98,1491.15
04,06,98,1502.81
05,06,98,1520.53
08,06,98,1540.24
09,06,98,1520.11
10,06,98,1514.28
11,06,98,1502.79
12,06,98,1461.13
15,06,98,1417.57
16,06,98,1434.04
17,06,98,1461.54
18,06,98,1468.67
19,06,98,1441.88
22,06,98,1403.44
23,06,98,1406.21
24,06,98,1415.18
25,06,98,1428.19
29,06,98,1434.17
30,06,98,1426.92
01,07,98,1455.84
02,07,98,1485.35
03,07,98,1490.16
06,07,98,1498.12
07,07,98,1531.88
08,07,98,1540.67
09,07,98,1555.29
10,07,98,1543.84
13,07,98,1552.92
14,07,98,1571.46
15,07,98,1582.1
16,07,98,1587.85
17,07,98,1606.17
20,07,98,1623.52
21,07,98,1622.85
22,07,98,1601.6
23,07,98,1589
24,07,98,1575.77
27,07,98,1571.3
28,07,98,1570.38
29,07,98,1541.52
30,07,98,1546.98
31,07,98,1545.01
03,08,98,1508.02
04,08,98,1518.97
05,08,98,1477.09
06,08,98,1476.07
07,08,98,1486.52
10,08,98,1477.83
11,08,98,1435.22
12,08,98,1448.74
13,08,98,1438.68
14,08,98,1472.69
17,08,98,1467.31
18,08,98,1507.4
19,08,98,1514.43
20,08,98,1499.69
21,08,98,1459.48
24,08,98,1441.51
25,08,98,1471.33
26,08,98,1448
27,08,98,1399.76
28,08,98,1336.67
31,08,98,1336.49
01,09,98,1291.97
02,09,98,1326.2
03,09,98,1282.92
04,09,98,1288.73
07,09,98,1297.14
08,09,98,1328.95
09,09,98,1326.84
10,09,98,1256.9
11,09,98,1203.09
14,09,98,1245.38
15,09,98,1253.11
16,09,98,1281.41
17,09,98,1225.86
18,09,98,1199.57
21,09,98,1156.84
22,09,98,1191.73
23,09,98,1196.33
24,09,98,1216.26
25,09,98,1151.55
28,09,98,1185.37
29,09,98,1211.35
30,09,98,1185.72
01,10,98,1131.17
02,10,98,1097.77
05,10,98,1091.25
06,10,98,1097
07,10,98,1109.6
08,10,98,1067.36
09,10,98,1063.5
12,10,98,1102.17
13,10,98,1121.87
14,10,98,1140.65
15,10,98,1173.66
16,10,98,1204.35
19,10,98,1206.36
20,10,98,1237.38
21,10,98,1231.13
22,10,98,1230.92
23,10,98,1217.15
26,10,98,1242.95
27,10,98,1269.46
28,10,98,1227.35
29,10,98,1226.38
30,10,98,1247.04
02,11,98,1266.12
03,11,98,1273.78
04,11,98,1297.78
05,11,98,1292.61
06,11,98,1301.17
09,11,98,1286.32
10,11,98,1261.04
11,11,98,1286.49
12,11,98,1278.39
13,11,98,1292.57
16,11,98,1312.71
17,11,98,1314.95
18,11,98,1304.96
19,11,98,1324.74
20,11,98,1347.48
23,11,98,1377.37
24,11,98,1388.8
25,11,98,1385.98
26,11,98,1414.68
27,11,98,1429.89
30,11,98,1436.79
01,12,98,1358.14
02,12,98,1353.4
03,12,98,1349.5
04,12,98,1365.89
07,12,98,1382.64
09,12,98,1370.94
10,12,98,1379.47
11,12,98,1346.07
14,12,98,1345.85
15,12,98,1356.66
16,12,98,1372.31
17,12,98,1369.17
18,12,98,1378.49
21,12,98,1401.01
22,12,98,1423.24
23,12,98,1441.1
28,12,98,1479.02
29,12,98,1484.19
30,12,98,1486.99
04,01,99,1542.64
05,01,99,1569.73
08,01,99,1586.65
11,01,99,1561.22
12,01,99,1527.58
13,01,99,1440.88
14,01,99,1461.59
15,01,99,1443.87
18,01,99,1509.29
19,01,99,1513.36
20,01,99,1510.84
21,01,99,1482.06
22,01,99,1431.61
25,01,99,1433.7
26,01,99,1452.38
27,01,99,1467.89
28,01,99,1463.83
29,01,99,1488.26
01,02,99,1507.72
02,02,99,1487.73
03,02,99,1477.02
04,02,99,1487.68
05,02,99,1468.28
08,02,99,1454.68
09,02,99,1420.74
10,02,99,1396.56
11,02,99,1433.68
12,02,99,1462.52
15,02,99,1455.61
16,02,99,1462.84
17,02,99,1439.15
18,02,99,1442.49
19,02,99,1464.78
22,02,99,1504.37
23,02,99,1517.68
24,02,99,1528.21
25,02,99,1521.57
26,02,99,1503.47
01,03,99,1497
02,03,99,1489.3
03,03,99,1485.41
04,03,99,1484.58
05,03,99,1528.95
08,03,99,1534.72
09,03,99,1545.3
10,03,99,1554.88
11,03,99,1576.54
12,03,99,1570.43
15,03,99,1559.32
16,03,99,1572.7
17,03,99,1568.55
18,03,99,1558.63
19,03,99,1588.14
22,03,99,1585.41
23,03,99,1568.03
24,03,99,1520.07
25,03,99,1545.92
26,03,99,1543.86
29,03,99,1555.48
30,03,99,1567.54
31,03,99,1576.63
01,04,99,1573.86
06,04,99,1584.74
07,04,99,1590.91
08,04,99,1593.19
09,04,99,1590.73
12,04,99,1574.7
13,04,99,1581.15
14,04,99,1578.18
15,04,99,1571.55
16,04,99,1567.42
19,04,99,1569.86
20,04,99,1561.68
21,04,99,1573.66
22,04,99,1574.26
23,04,99,1560.5
26,04,99,1561.04
27,04,99,1570.37
28,04,99,1572.26
29,04,99,1568.89
30,04,99,1579.35
03,05,99,1581.8
04,05,99,1590.76
05,05,99,1577.61
06,05,99,1576.67
07,05,99,1567.04
10,05,99,1553.19
11,05,99,1550.61
12,05,99,1535.14
13,05,99,1539.78
14,05,99,1526.81
17,05,99,1484.58
18,05,99,1491.47
19,05,99,1514.13
20,05,99,1540.22
21,05,99,1551.07
24,05,99,1548.57
25,05,99,1525.32
26,05,99,1539.82
27,05,99,1529.39
28,05,99,1509.01
31,05,99,1523.09
01,06,99,1532.49
02,06,99,1518.03
03,06,99,1535.98
04,06,99,1533.65
07,06,99,1539.42
08,06,99,1556.23
09,06,99,1558.03
10,06,99,1546.21
11,06,99,1537.21
14,06,99,1519.78
15,06,99,1516.49
16,06,99,1522.62
17,06,99,1535.81
18,06,99,1539.84
21,06,99,1548.7
22,06,99,1537.59
23,06,99,1541.45
24,06,99,1541.16
25,06,99,1529.39
28,06,99,1524.36
29,06,99,1526.63
30,06,99,1525.67
01,07,99,1535.37
02,07,99,1529.77
05,07,99,1551.54
06,07,99,1567.16
07,07,99,1568.56
08,07,99,1567.25
09,07,99,1572.79
12,07,99,1573.22
13,07,99,1554.86
14,07,99,1557.51
15,07,99,1564.36
16,07,99,1555.61
19,07,99,1555
20,07,99,1537.27
21,07,99,1498.09
22,07,99,1483.11
23,07,99,1476.36
26,07,99,1441.72
27,07,99,1452.06
28,07,99,1446.43
29,07,99,1421.47
30,07,99,1422.88
02,08,99,1424.31
03,08,99,1441.43
04,08,99,1439.35
05,08,99,1409.92
06,08,99,1405.18
09,08,99,1412.77
10,08,99,1401.55
11,08,99,1407.32
12,08,99,1429.91
13,08,99,1438.34
16,08,99,1451.55
17,08,99,1463.06
18,08,99,1466.57
19,08,99,1452.84
20,08,99,1456.1
23,08,99,1478.56
24,08,99,1479.6
25,08,99,1498.86
26,08,99,1505.86
27,08,99,1506.96
30,08,99,1504.49
31,08,99,1479.65
01,09,99,1485.67
02,09,99,1464.04
03,09,99,1473.4
06,09,99,1497.02
07,09,99,1494.9
08,09,99,1489.8
09,09,99,1503.37
10,09,99,1517.22
13,09,99,1516.79
14,09,99,1510.59
15,09,99,1502.55
16,09,99,1499.87
17,09,99,1514.43
20,09,99,1520
21,09,99,1509.84
22,09,99,1511.57
23,09,99,1525.75
24,09,99,1519.02
27,09,99,1520.98
28,09,99,1520.6
29,09,99,1492.3
30,09,99,1483.93
01,10,99,1484.01
04,10,99,1491.09
05,10,99,1490.53
06,10,99,1488.89
07,10,99,1492.89
08,10,99,1492.62
11,10,99,1487.26
12,10,99,1487.33
13,10,99,1453.58
14,10,99,1449.25
15,10,99,1421.37
18,10,99,1397.13
19,10,99,1410.24
20,10,99,1417.6
21,10,99,1412.61
22,10,99,1425.52
25,10,99,1419.95
26,10,99,1415.65
27,10,99,1411.27
28,10,99,1431.3
29,10,99,1455.13
02,11,99,1442.22
03,11,99,1438.49
04,11,99,1451.19
05,11,99,1450.53
08,11,99,1442.43
09,11,99,1461.9
10,11,99,1464.55
11,11,99,1476.06
12,11,99,1478.32
15,11,99,1485.31
16,11,99,1486.86
17,11,99,1488.72
18,11,99,1495.28
19,11,99,1507.43
22,11,99,1513.76
23,11,99,1505.07
24,11,99,1504.09
25,11,99,1529.11
26,11,99,1543.4
29,11,99,1554.04
30,11,99,1550.22
01,12,99,1560.18
02,12,99,1571.41
03,12,99,1582.26
06,12,99,1601.37
07,12,99,1614.92
08,12,99,1626.38
09,12,99,1649.56
10,12,99,1627.71
13,12,99,1643.28
14,12,99,1671.26
15,12,99,1658.89
16,12,99,1665.15
17,12,99,1677.12
20,12,99,1700.2
21,12,99,1715.53
22,12,99,1714.23
23,12,99,1749.25
27,12,99,1787.29
28,12,99,1788.18
29,12,99,1809.39
30,12,99,1816.72
03,01,00,1821.19
04,01,00,1724.97
05,01,00,1682.78
06,01,00,1666.36
07,01,00,1690.57
10,01,00,1721.28
11,01,00,1692.01
12,01,00,1700.54
13,01,00,1739.74
14,01,00,1763.63
17,01,00,1785.53
18,01,00,1772.12
19,01,00,1766.42
20,01,00,1790.96
21,01,00,1787.82
24,01,00,1806.43
25,01,00,1773.74
26,01,00,1780.01
27,01,00,1795.76
28,01,00,1809.91
31,01,00,1778.03
01,02,00,1803.31
02,02,00,1835.48
03,02,00,1872.01
04,02,00,1902.21
07,02,00,1908.51
08,02,00,1933.28
09,02,00,1953.45
10,02,00,1950.54
11,02,00,2032.25
14,02,00,2048.61
15,02,00,2032.69
16,02,00,1997.48
17,02,00,2016.49
18,02,00,2032.29
21,02,00,1993.91
22,02,00,2008.83
23,02,00,2031.37
24,02,00,2070.48
25,02,00,2080.83
28,02,00,2080.36
29,02,00,2124.43
01,03,00,2132.58
02,03,00,2131.1
03,03,00,2159.57
06,03,00,2175.27
07,03,00,2154.1
08,03,00,2136.12
09,03,00,2150.28
10,03,00,2182.34
13,03,00,2133.09
14,03,00,2119.14
15,03,00,2062.1
16,03,00,2062.88
17,03,00,2117.21
20,03,00,2092.09
21,03,00,2048.14
22,03,00,2040.85
23,03,00,1993.31
24,03,00,2048.86
27,03,00,2064.49
28,03,00,2065.32
29,03,00,2049.11
30,03,00,1999.01
31,03,00,1983.2
03,04,00,1947.82
04,04,00,1940.63
05,04,00,1901.87
06,04,00,1944.46
07,04,00,1967.42
10,04,00,1971.3
11,04,00,1933.38
12,04,00,1939.53
13,04,00,1931.14
14,04,00,1916.87
17,04,00,1836.22
18,04,00,1871.94
19,04,00,1877.2
20,04,00,1899.63
25,04,00,1921.1
26,04,00,1952.29
27,04,00,1922.21
28,04,00,1947.11
02,05,00,1990.56
03,05,00,2002.76
04,05,00,1993.35
05,05,00,2005.44
08,05,00,2001.94
09,05,00,1978.83
10,05,00,1964.84
11,05,00,1957.51
12,05,00,1992.02
15,05,00,2000.97
16,05,00,2024.32
17,05,00,2002.52
18,05,00,1988.07
19,05,00,1941.27
22,05,00,1874.37
23,05,00,1894.55
24,05,00,1881.64
25,05,00,1919.45
26,05,00,1921.82
29,05,00,1949.19
30,05,00,1951.33
31,05,00,1972.75
01,06,00,1982.74
02,06,00,2015.83
05,06,00,2005.29
06,06,00,1994.9
07,06,00,1987.58
08,06,00,2008.75
09,06,00,2011.33
12,06,00,2012.41
13,06,00,2008.67
14,06,00,2028.52
15,06,00,2027.66
16,06,00,2025.21
19,06,00,1994.64
20,06,00,2000.84
21,06,00,1983.79
22,06,00,1977.8
23,06,00,1978.04
26,06,00,1993.84
27,06,00,1984.15
28,06,00,1996.3
29,06,00,1981.83
30,06,00,1984.81
03,07,00,2003.86
04,07,00,2003.14
05,07,00,2004.02
06,07,00,2008.51
07,07,00,2032.57
10,07,00,2043.63
11,07,00,2049.21
12,07,00,2059.24
13,07,00,2065.86
14,07,00,2071.34
17,07,00,2071.13
18,07,00,2065.87
19,07,00,2063.92
20,07,00,2071.87
21,07,00,2066.38
24,07,00,2050.88
25,07,00,2048.31
26,07,00,2039.33
27,07,00,2012.25
28,07,00,1982.44
31,07,00,1981.68
01,08,00,1988.35
02,08,00,1987.97
03,08,00,1957.6
04,08,00,1969.75
07,08,00,1995.1
08,08,00,2014.73
09,08,00,2035.87
10,08,00,2043.19
11,08,00,2036.64
14,08,00,2040.62
16,08,00,2051.8
17,08,00,2035.6
18,08,00,2027.83
21,08,00,2024.33
22,08,00,2033.54
23,08,00,2020.2
24,08,00,2033.62
25,08,00,2045.76
28,08,00,2041.34
29,08,00,2044.59
30,08,00,2048.36
31,08,00,2058.65
01,09,00,2087.54
04,09,00,2096.82
05,09,00,2091.83
06,09,00,2092.76
07,09,00,2094.92
08,09,00,2089.52
11,09,00,2076.64
12,09,00,2078.45
13,09,00,2063.5
14,09,00,2066.94
15,09,00,2052.59
18,09,00,2030.66
19,09,00,2013.97
20,09,00,1994.1
21,09,00,1957.2
22,09,00,1941.75
25,09,00,1983.41
26,09,00,1977.09
27,09,00,1985.32
28,09,00,1973.7
29,09,00,1973.02
02,10,00,1986.68
03,10,00,1997.55
04,10,00,1988.67
05,10,00,1995.06
06,10,00,1979.96
09,10,00,1945.16
10,10,00,1948
11,10,00,1913.34
12,10,00,1911.55
13,10,00,1895
16,10,00,1926.01
17,10,00,1928.08
18,10,00,1903.67
19,10,00,1944.2
23,10,00,1976.89
24,10,00,2001.34
25,10,00,2004.64
26,10,00,2018.01
27,10,00,2030.29
30,10,00,2036.03
31,10,00,2047.77
01,11,00,2061.69
02,11,00,2066.07
03,11,00,2072.45
06,11,00,2086.84
07,11,00,2081.03
08,11,00,2094.86
09,11,00,2086.35
10,11,00,2066.96
13,11,00,2034.36
14,11,00,2068.42
15,11,00,2095.95
16,11,00,2090
17,11,00,2089.4
20,11,00,2060.38
21,11,00,2051.84
22,11,00,2023.27
23,11,00,2022.56
24,11,00,2056.32
27,11,00,2079.62
28,11,00,2055.03
29,11,00,2045.65
30,11,00,2031.97
01,12,00,2024.33
04,12,00,1979
05,12,00,1986.82
06,12,00,1993.67
07,12,00,1966.68
08,12,00,1981.97
11,12,00,1983.35
12,12,00,1979.62
13,12,00,1967.83
14,12,00,1934.49
15,12,00,1898.73
18,12,00,1895.07
19,12,00,1898.34
20,12,00,1880.65
21,12,00,1854.88
22,12,00,1875.5
27,12,00,1901.47
28,12,00,1916.94
29,12,00,1916.35
02,01,01,1889.67
03,01,01,1844.28
04,01,01,1856.94
05,01,01,1864.82
08,01,01,1849.69
09,01,01,1856.32
10,01,01,1849.97
11,01,01,1868.94
12,01,01,1902.44
15,01,01,1916.63
16,01,01,1899.93
17,01,01,1927.39
18,01,01,1935.34
19,01,01,1948.36
22,01,01,1929.07
23,01,01,1917.41
24,01,01,1938.06
25,01,01,1945.33
26,01,01,1939.8
29,01,01,1938.33
30,01,01,1943.57
31,01,01,1948.39
01,02,01,1937.82
02,02,01,1927.34
05,02,01,1899.69
06,02,01,1909.6
07,02,01,1882.58
08,02,01,1890.58
09,02,01,1866.98
12,02,01,1873.09
13,02,01,1875.54
14,02,01,1851.28
15,02,01,1851.22
16,02,01,1830.13
19,02,01,1824.18
20,02,01,1824.81
21,02,01,1786.59
22,02,01,1779.62
23,02,01,1764.2
26,02,01,1773.06
27,02,01,1770.36
28,02,01,1775.34
01,03,01,1747.68
02,03,01,1725.53
05,03,01,1714.42
06,03,01,1740.11
07,03,01,1750.12
08,03,01,1761.35
09,03,01,1742.74
12,03,01,1697.07
13,03,01,1679.65
14,03,01,1653.13
15,03,01,1665.59
16,03,01,1654.3
19,03,01,1647.93
20,03,01,1664.63
21,03,01,1647.77
22,03,01,1609.57
23,03,01,1610.11
26,03,01,1650.67
27,03,01,1676.13
28,03,01,1692.08
29,03,01,1684.66
30,03,01,1717.89
02,04,01,1705.74
03,04,01,1691.86
04,04,01,1677.65
05,04,01,1721.71
06,04,01,1719.14
09,04,01,1731.06
10,04,01,1757.03
11,04,01,1755.04
12,04,01,1749.5
17,04,01,1742.52
18,04,01,1778.32
19,04,01,1779.55
20,04,01,1773.45
23,04,01,1742.03
24,04,01,1748.95
25,04,01,1752.97
26,04,01,1755.54
27,04,01,1762.26
30,04,01,1786.42
02,05,01,1791.87
03,05,01,1765.85
04,05,01,1748.39
07,05,01,1758.37
08,05,01,1753.57
09,05,01,1734.71
10,05,01,1751.1
11,05,01,1748.36
14,05,01,1754.44
15,05,01,1754.19
16,05,01,1733.51
17,05,01,1753.71
18,05,01,1749.1
21,05,01,1732.05
22,05,01,1754.42
23,05,01,1756.88
24,05,01,1761.42
25,05,01,1759.24
28,05,01,1756.46
29,05,01,1749.09
30,05,01,1719.66
31,05,01,1709.45
01,06,01,1704.95
04,06,01,1699.37
05,06,01,1697.41
06,06,01,1697.14
07,06,01,1695.72
08,06,01,1711.9
11,06,01,1714.18
12,06,01,1695.26
13,06,01,1696.58
14,06,01,1675.93
15,06,01,1657.16
18,06,01,1628.97
19,06,01,1631.53
20,06,01,1609.5
21,06,01,1605.23
22,06,01,1604.87
25,06,01,1612.38
26,06,01,1601.19
27,06,01,1608.75
28,06,01,1604.77
29,06,01,1632.47
02,07,01,1649.71
03,07,01,1658.58
04,07,01,1652.06
05,07,01,1652.51
06,07,01,1629.21
09,07,01,1615.24
10,07,01,1619.08
11,07,01,1598.86
12,07,01,1605.49
13,07,01,1590.05
16,07,01,1595.94
17,07,01,1578.58
18,07,01,1555.77
19,07,01,1564.59
20,07,01,1556.76
23,07,01,1574.28
24,07,01,1572.93
25,07,01,1566.29
26,07,01,1571.3
27,07,01,1582.91
30,07,01,1601.53
31,07,01,1599.92
01,08,01,1610.78
02,08,01,1620.95
03,08,01,1605.48
06,08,01,1612.52
07,08,01,1612.45
08,08,01,1611.1
09,08,01,1599.31
10,08,01,1588.88
13,08,01,1580.02
14,08,01,1589.79
16,08,01,1574.31
17,08,01,1562.43
20,08,01,1540.89
21,08,01,1547.65
22,08,01,1555.34
23,08,01,1553.83
24,08,01,1566.81
27,08,01,1576.5
28,08,01,1566.69
29,08,01,1556.07
30,08,01,1550.01
31,08,01,1528.1
03,09,01,1509.4
04,09,01,1501.07
05,09,01,1479.02
06,09,01,1446.91
07,09,01,1412.44
10,09,01,1389.39
11,09,01,1369.12
12,09,01,1289.06
13,09,01,1304.32
14,09,01,1274.58
17,09,01,1212.28
18,09,01,1202.84
19,09,01,1211.12
20,09,01,1154.8
21,09,01,1082.91
24,09,01,1125.46
25,09,01,1168.67
26,09,01,1205.12
27,09,01,1222.1
28,09,01,1270.23
01,10,01,1256.36
02,10,01,1253.84
03,10,01,1270.12
04,10,01,1320.71
